pwmval;lux
0;0.000000
100;24.289600
200;53.291200
300;82.232000
400;111.172800
500;140.083200
600;168.932800
700;197.782400
800;227.270400
900;256.667200
1000;284.240000
1100;313.028800
1200;341.756800
1300;372.460800
1400;401.280000
1500;429.947200
1600;457.185600
1700;485.792000
1800;514.033600
1900;544.129600
2000;575.137600
2100;601.616000
2200;631.620800
2300;660.926400
2400;689.624000
2500;716.254400
2600;746.168000
2700;773.193600
2800;799.702400
2900;831.865600
3000;860.259200
3100;885.977600
3200;917.472000
3300;943.433600
3400;973.560000
3500;1000.068800
3600;1029.070400
3700;1058.832000
3800;1087.164800
3900;1115.315200
4000;1143.617600
